AnimeId,Name,Genres,Type,Episodes,Score,Members,Studios,Aired
22163,Natsu no Shisen 1942,Dementia,Movie,1,4.92,364,Unknown,2002
22167,Goldfish Fetish,Dementia,Movie,1,5.45,479,Unknown,2002
22169,Fetish Doll,Dementia,Movie,1,3.09,1597,Unknown,2003
22171,Tanaami Keiichi no Shouzou,Dementia,Movie,1,4.99,329,Unknown,2003
22173,Yume 10 Yoru,Dementia,Movie,1,4.2,728,Unknown,2004
22175,The Harmonic Gleam Vibration,Dementia,Movie,1,4.96,384,Unknown,2005
22177,Madonna (Movie),Dementia,Movie,1,3.19,891,Unknown,2005
22179,Aki no Puzzle,Dementia,Movie,1,2.63,1577,Unknown,2003
22181,Shunga,Dementia,Movie,1,4.42,655,Unknown,2009
22249,Yodaka no Hoshi,"Kids, Adventure",Movie,1,6.43,2192,Unknown,2013
22255,Kanojo no Dokushinshatachi ni Yotte Hadaka ni Sareta Seifuku no Shojo Kenkyuu,"Dementia, Music",Movie,1,4.4,732,Unknown,1972
22385,a_caFe,"Fantasy, Music",Music,1,4.63,727,Unknown,2002
22415,Aoi Heya,"Fantasy, Music",Music,1,4.66,555,Unknown,2001
22841,Okashina Hotel,Dementia,Special,1,5.12,990,Unknown,2008
22943,Mugen Senshi Valis,"Action, Adventure, Fantasy",Special,1,5.59,590,Sunrise,1987
23029,Popful Mail,"Comedy, Fantasy, Music",Music,1,5.77,371,Studio Fantasia,1994
23051,Ga no Iru Tokoro,Dementia,Movie,1,4.46,803,Unknown,2001
23053,Nisou no Kuzu,Psychological,Movie,1,5.06,623,Unknown,2004
23055,Kangaeru Renshuu,Dementia,Movie,1,4.31,470,Unknown,2003
23057,Yukidoke,"Dementia, Horror",Movie,1,4.0,3031,Unknown,2004
23059,Shinsatsushitsu,"Dementia, Horror",Movie,1,4.51,1342,Unknown,2005
23063,Usagi ga Kowai,"Game, Dementia, Horror",Movie,1,4.65,1384,Unknown,2002
23065,Kaidan,Supernatural,Movie,1,5.13,633,Unknown,2003
23157,Kaze no Invitation,"Magic, Music",Music,1,5.51,460,Studio Pierrot,1999
23581,Romeo no Aoi Sora Specials,"Adventure, Drama, Historical, Slice of Life",Special,2,6.38,731,Nippon Animation,2001
23595,Seihou Tenshi Angel Links: Meifon no Special Kaisetsu Corner,"Sci-Fi, Space, Comedy",Special,1,5.6,799,Sunrise,2000
23711,Kakumei no Wakaki Sora,"Drama, Historical",OVA,1,6.34,585,Unknown,2010
23825,Ys IV: The Dawn of Ys,"Action, Adventure, Fantasy, Game",Special,1,5.79,605,Unknown,1993
